Record_ID,Train_Number,Station_Code,Route_ID,Journey_Date,Train_Name,Train_Type,Train_Source,Train_Destination,Train_Total_Stops,Route_Name,Station_Name,Station_Order,Is_Junction,Is_Terminal,Is_Bottleneck_Station,Scheduled_Arrival,Actual_Arrival,Scheduled_Departure,Actual_Departure,Arrival_Delay_Min,Departure_Delay_Min,Station_Halt_Min,Cumulative_Delay_Min,Delay_Flag,Severe_Delay_Flag,Delay_Category,Hour_of_Day,Time_Period,Is_Night_Train,Is_Peak_Hour,Day_of_Week,Day_Number,Month,Month_Number,Year,Is_Weekend,Week_Number,Delay_Risk_Score,Risk_Category,Passenger_Reliability_Index,Journey_Predictability_Pct
11,12301,ASN,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,18:53,18:49,19:09,6,20,2,17,0,0,Slight (1-10 min),18,Evening Peak (17-21),0,1,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
12,12301,DHN,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,19:58,20:00,19:57,3,0,5,15,0,0,Slight (1-10 min),20,Evening Peak (17-21),0,1,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
13,12301,PNME,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,23:26,20:32,20:31,176,0,2,189,1,1,Severe (60+ min),20,Evening Peak (17-21),0,1,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
14,12301,GAYA,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,23:05,22:35,22:50,33,15,3,47,1,1,Significant (31-60 min),22,Night (22-05),1,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
15,12301,DDU,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,00:57,00:50,03:29,17,159,10,32,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
16,12301,PRYJ,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,00:42,00:45,00:47,0,2,2,16,0,0,On Time/Early,0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
17,12301,CNB,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,01:05,00:55,02:02,15,67,5,32,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
18,12301,NDLS,HWH_NDLS,2025-12-29,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:00,,,0,0,0,18,0,0,On Time/Early,0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,40.7,Medium Risk,5.9,61.9
19,12301,HWH,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,17:10,0,20,0,19,0,0,On Time/Early,16,Afternoon (11-16),0,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
20,12301,ASN,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,18:45,18:49,18:50,0,1,2,0,0,0,On Time/Early,18,Evening Peak (17-21),0,1,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
21,12301,DHN,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,20:02,20:00,21:16,7,76,5,8,0,0,Slight (1-10 min),20,Evening Peak (17-21),0,1,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
22,12301,PNME,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,20:25,20:32,20:30,0,0,2,2,0,0,On Time/Early,20,Evening Peak (17-21),0,1,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
23,12301,GAYA,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,22:54,22:35,22:47,22,12,3,25,1,0,Moderate (11-30 min),22,Night (22-05),1,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
24,12301,DDU,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,00:39,00:50,00:48,0,0,10,4,0,0,On Time/Early,0,Night (22-05),1,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
25,12301,PRYJ,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,00:52,00:45,00:41,9,0,2,14,0,0,Slight (1-10 min),0,Night (22-05),1,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
26,12301,CNB,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:53,00:55,01:01,3,6,5,9,0,0,Slight (1-10 min),0,Night (22-05),1,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
27,12301,NDLS,HWH_NDLS,2025-12-28,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:20,,,15,0,0,22,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Sunday,6,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
28,12301,HWH,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,16:46,0,0,0,8,0,0,On Time/Early,16,Afternoon (11-16),0,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
29,12301,ASN,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,18:45,18:49,18:46,0,0,2,9,0,0,On Time/Early,18,Evening Peak (17-21),0,1,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
30,12301,DHN,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,20:13,20:00,20:18,18,18,5,28,1,0,Moderate (11-30 min),20,Evening Peak (17-21),0,1,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
31,12301,PNME,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,22:17,20:32,20:50,107,18,2,118,1,1,Severe (60+ min),20,Evening Peak (17-21),0,1,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
32,12301,GAYA,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,22:32,22:35,22:30,0,0,3,12,0,0,On Time/Early,22,Night (22-05),1,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
33,12301,DDU,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,00:59,00:50,01:06,19,16,10,32,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
34,12301,PRYJ,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,01:28,00:45,00:59,45,14,2,59,1,1,Significant (31-60 min),0,Night (22-05),1,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
35,12301,CNB,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:55,00:55,01:00,5,5,5,20,0,0,Slight (1-10 min),0,Night (22-05),1,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
36,12301,NDLS,HWH_NDLS,2025-12-27,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:09,,,4,0,0,20,0,0,Slight (1-10 min),0,Night (22-05),1,0,Saturday,5,December,12,2025,1,52,40.7,Medium Risk,5.9,61.9
37,12301,HWH,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,16:50,0,0,0,17,0,0,On Time/Early,16,Afternoon (11-16),0,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
38,12301,ASN,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,18:49,18:49,18:59,2,10,2,20,0,0,Slight (1-10 min),18,Evening Peak (17-21),0,1,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
39,12301,DHN,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,20:08,20:00,20:00,13,0,5,32,1,0,Moderate (11-30 min),20,Evening Peak (17-21),0,1,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
40,12301,PNME,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,20:32,20:32,20:36,2,4,2,2,0,0,Slight (1-10 min),20,Evening Peak (17-21),0,1,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
41,12301,GAYA,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,22:32,22:35,22:41,0,6,3,1,0,0,On Time/Early,22,Night (22-05),1,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
42,12301,DDU,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,00:37,00:50,00:54,0,4,10,2,0,0,On Time/Early,0,Night (22-05),1,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
43,12301,PRYJ,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,03:35,00:45,00:58,172,13,2,175,1,1,Severe (60+ min),0,Night (22-05),1,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
44,12301,CNB,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:48,00:55,01:47,0,52,5,4,0,0,On Time/Early,0,Night (22-05),1,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
45,12301,NDLS,HWH_NDLS,2025-12-26,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:58,,,53,0,0,58,1,1,Significant (31-60 min),0,Night (22-05),1,0,Friday,4,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
46,12301,HWH,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,16:59,0,9,0,6,0,0,On Time/Early,16,Afternoon (11-16),0,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
47,12301,ASN,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,18:49,18:49,19:12,2,23,2,9,0,0,Slight (1-10 min),18,Evening Peak (17-21),0,1,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
48,12301,DHN,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,19:54,20:00,20:05,0,5,5,8,0,0,On Time/Early,20,Evening Peak (17-21),0,1,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
49,12301,PNME,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,20:29,20:32,22:59,0,147,2,9,0,0,On Time/Early,20,Evening Peak (17-21),0,1,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
50,12301,GAYA,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,23:04,22:35,22:44,32,9,3,42,1,1,Significant (31-60 min),22,Night (22-05),1,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
51,12301,DDU,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,01:22,00:50,00:56,42,6,10,53,1,1,Significant (31-60 min),0,Night (22-05),1,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
52,12301,PRYJ,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,02:29,00:45,00:43,106,0,2,118,1,1,Severe (60+ min),0,Night (22-05),1,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
53,12301,CNB,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:49,00:55,00:52,0,0,5,13,0,0,On Time/Early,0,Night (22-05),1,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
54,12301,NDLS,HWH_NDLS,2025-12-25,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:14,,,9,0,0,23,0,0,Slight (1-10 min),0,Night (22-05),1,0,Thursday,3,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
55,12301,HWH,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Howrah Jn,1,1,0,0,,,16:50,16:49,0,0,0,15,0,0,On Time/Early,16,Afternoon (11-16),0,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
56,12301,ASN,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Asansol Jn,2,1,0,0,18:47,20:08,18:49,19:01,81,12,2,97,1,1,Severe (60+ min),18,Evening Peak (17-21),0,1,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
57,12301,DHN,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Dhanbad Jn,3,1,0,0,19:55,19:53,20:00,20:31,0,31,5,17,0,0,On Time/Early,20,Evening Peak (17-21),0,1,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
58,12301,PNME,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Parasnath,4,0,0,0,20:30,20:48,20:32,20:46,18,14,2,36,1,0,Moderate (11-30 min),20,Evening Peak (17-21),0,1,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
59,12301,GAYA,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Gaya Jn,5,1,0,0,22:32,22:37,22:35,22:32,5,0,3,24,0,0,Slight (1-10 min),22,Night (22-05),1,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
60,12301,DDU,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Pt Deen Dayal Upadhyaya Jn,6,1,0,1,00:40,00:51,00:50,00:50,11,0,10,11,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
61,12301,PRYJ,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Prayagraj Jn,7,1,0,1,00:43,00:52,00:45,00:50,9,5,2,10,0,0,Slight (1-10 min),0,Night (22-05),1,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
62,12301,CNB,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,Kanpur Central,8,0,0,0,00:50,00:50,00:55,01:22,0,27,5,2,0,0,On Time/Early,0,Night (22-05),1,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
63,12301,NDLS,HWH_NDLS,2025-12-24,12301),Express,Howrah Jn,New Delhi,9,Howrah Jn to New Delhi,New Delhi,9,0,0,0,00:05,00:17,,,12,0,0,15,1,0,Moderate (11-30 min),0,Night (22-05),1,0,Wednesday,2,December,12,2025,0,52,40.7,Medium Risk,5.9,61.9
64,12302,NDLS,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,New Delhi,1,0,0,0,,,16:50,16:54,0,4,0,4,0,0,On Time/Early,16,Afternoon (11-16),0,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
65,12302,CNB,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Kanpur Central,2,0,0,0,21:32,21:27,21:37,21:46,0,9,5,5,0,0,On Time/Early,21,Evening Peak (17-21),0,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
66,12302,PRYJ,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Prayagraj Jn,3,1,0,1,23:41,23:41,23:43,23:38,0,0,2,6,0,0,On Time/Early,23,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
67,12302,DDU,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Pt Deen Dayal Upadhyaya Jn,4,1,0,1,00:35,00:37,00:45,00:45,2,0,10,9,0,0,Slight (1-10 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
68,12302,GAYA,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Gaya Jn,5,1,0,0,00:57,00:52,00:00,00:14,0,14,3,8,0,0,On Time/Early,0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
69,12302,PNME,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Parasnath,6,0,0,0,00:43,02:06,00:45,00:40,83,0,2,92,1,1,Severe (60+ min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
70,12302,DHN,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Dhanbad Jn,7,1,0,0,00:33,00:43,00:38,00:34,10,0,5,20,0,0,Slight (1-10 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
71,12302,ASN,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Asansol Jn,8,1,0,0,00:18,00:23,00:20,02:15,5,115,2,16,0,0,Slight (1-10 min),0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
72,12302,HWH,NDLS_HWH,2025-12-30,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Howrah Jn,9,1,0,0,00:55,00:52,,,0,0,0,12,0,0,On Time/Early,0,Night (22-05),1,0,Tuesday,1,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
73,12302,NDLS,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,New Delhi,1,0,0,0,,,16:50,18:46,0,116,0,13,0,0,On Time/Early,16,Afternoon (11-16),0,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
74,12302,CNB,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Kanpur Central,2,0,0,0,21:32,21:34,21:37,21:35,2,0,5,16,0,0,Slight (1-10 min),21,Evening Peak (17-21),0,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
75,12302,PRYJ,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Prayagraj Jn,3,1,0,1,23:41,23:42,23:43,00:02,1,19,2,16,0,0,Slight (1-10 min),23,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
76,12302,DDU,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Pt Deen Dayal Upadhyaya Jn,4,1,0,1,00:35,00:32,00:45,00:45,0,0,10,16,0,0,On Time/Early,0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
77,12302,GAYA,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Gaya Jn,5,1,0,0,00:57,00:59,00:00,00:20,2,20,3,19,0,0,Slight (1-10 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
78,12302,PNME,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Parasnath,6,0,0,0,00:43,01:37,00:45,00:44,54,0,2,72,1,1,Significant (31-60 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
79,12302,DHN,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Dhanbad Jn,7,1,0,0,00:33,01:09,00:38,00:57,36,19,5,55,1,1,Significant (31-60 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
80,12302,ASN,NDLS_HWH,2025-12-29,12302),Express,New Delhi,Howrah Jn,9,New Delhi to Howrah Jn,Asansol Jn,8,1,0,0,00:18,00:19,00:20,00:40,1,20,2,1,0,0,Slight (1-10 min),0,Night (22-05),1,0,Monday,0,December,12,2025,0,1,26.7,Low Risk,7.3,73.0
